season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 27_level_0_Fmb,Rush_Unnamed: 28_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2015,21,TAM,NFL,QB,16.0,16.0,6-10-0,312.0,535.0,58.3,4042.0,22.0,4.1,15.0,2.8,201.0,45.6,68.0,7.6,7.12,13.0,252.6,84.2,57.2,27.0,190.0,4.8,6.85,6.44,2.0,3.0,13.0,"PB,AP ORoY-2",21,TAM,NFL,QB,16.0,16.0,54.0,213.0,6.0,19.0,42.6,21.0,3.9,13.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.9,213.0,6.0,6.0,"PB,AP ORoY-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jameis Winston,WinsJa00,2015,TAM,4255.0
2016,22,TAM,NFL,QB,16.0,16.0,9-7-0,345.0,567.0,60.8,4090.0,28.0,4.9,18.0,3.2,216.0,47.8,45.0,7.2,6.77,11.9,255.6,86.1,59.5,35.0,239.0,5.81,6.4,5.98,1.0,3.0,12.0,,22,TAM,NFL,QB,16.0,16.0,53.0,165.0,1.0,13.0,32.1,14.0,3.1,10.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,3.1,165.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jameis Winston,WinsJa00,2015,TAM,4255.0
2017,23,TAM,NFL,QB,13.0,13.0,3-10-0,282.0,442.0,63.8,3504.0,19.0,4.3,11.0,2.5,185.0,49.7,70.0,7.9,7.67,12.4,269.5,92.2,52.1,33.0,207.0,6.95,6.94,6.7,2.0,2.0,10.0,,23,TAM,NFL,QB,13.0,13.0,33.0,135.0,1.0,8.0,45.5,17.0,4.1,10.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.1,135.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jameis Winston,WinsJa00,2015,TAM,3639.0
2018,24,TAM,NFL,QB,11.0,9.0,3-6-0,244.0,378.0,64.6,2992.0,19.0,5.0,14.0,3.7,152.0,50.6,64.0,7.9,7.25,12.3,272.0,90.2,66.2,27.0,157.0,6.67,7.0,6.38,0.0,1.0,9.0,,24,TAM,NFL,QB,11.0,9.0,49.0,281.0,1.0,19.0,53.1,18.0,5.7,25.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5.7,281.0,1.0,7.0,,24,TAM,NFL,QB,11.0,9.0,244.0,378.0,4079.0,10.8,2082.0,8.5,5.5,910.0,3.7,0.0,5.0,1.0,18.0,4.8,60.0,16.1,,,2.4,84.0,43.0,29.0,99.0,22.4,36.0,7.1,,,,,,,,,,Jameis Winston,WinsJa00,2015,TAM,3273.0
2019,25,TAM,NFL,QB,16.0,16.0,7-9-0,380.0,626.0,60.7,5109.0,33.0,5.3,30.0,4.8,243.0,46.7,71.0,8.2,7.06,13.4,319.3,84.3,55.7,47.0,282.0,6.98,7.17,6.15,2.0,2.0,15.0,,25,TAM,NFL,QB,16.0,16.0,59.0,250.0,1.0,18.0,37.3,26.0,4.2,15.6,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,4.2,250.0,1.0,12.0,,25,TAM,NFL,QB,16.0,16.0,380.0,626.0,6486.0,10.4,3249.0,8.6,5.2,1860.0,4.9,11.0,22.0,2.0,23.0,3.8,124.0,20.6,421.0,69.9,2.5,241.0,60.0,54.0,161.0,22.9,31.0,7.4,9.0,82.0,8.0,80.0,1.0,2.0,93.0,1133.0,,Jameis Winston,WinsJa00,2015,TAM,5359.0
2020,26,NOR,NFL,QB,4.0,0.0,,7.0,11.0,63.6,75.0,0.0,0.0,0.0,0.0,5.0,38.5,19.0,6.8,6.82,10.7,18.8,83.5,12.0,2.0,11.0,15.38,4.92,4.92,0.0,0.0,0.0,,26,NOR,NFL,QB,4.0,0.0,8.0,-6.0,0.0,0.0,12.5,3.0,-0.8,-1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.8,-6.0,0.0,0.0,,26,NOR,NFL,QB,4.0,0.0,7.0,11.0,51.0,4.6,14.0,2.0,1.3,61.0,8.7,0.0,0.0,0.0,0.0,0.0,3.0,27.3,7.0,63.6,2.2,5.0,1.0,1.0,4.0,28.6,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,,Jameis Winston,WinsJa00,2015,TAM,69.0
2021,27,NOR,NFL,QB,7.0,7.0,5-2-0,95.0,161.0,59.0,1170.0,14.0,8.7,3.0,1.9,56.0,44.8,72.0,7.3,8.17,12.3,167.1,102.8,69.8,11.0,69.0,6.4,6.4,7.24,0.0,1.0,5.0,,27,NOR,NFL,QB,7.0,7.0,32.0,166.0,1.0,17.0,56.3,20.0,5.2,23.7,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,5.2,166.0,1.0,2.0,,27,NOR,NFL,QB,7.0,7.0,95.0,161.0,1340.0,8.3,589.0,6.2,3.7,581.0,6.1,5.0,9.0,0.0,10.0,6.6,33.0,21.7,107.0,70.4,2.6,68.0,18.0,18.0,47.0,24.9,17.0,9.5,2.0,11.0,1.0,0.0,1.0,11.0,37.0,355.0,,Jameis Winston,WinsJa00,2015,TAM,1336.0
2022,28,NOR,NFL,QB,3.0,3.0,1-2-0,73.0,115.0,63.5,858.0,4.0,3.5,5.0,4.3,35.0,43.7,51.0,7.5,6.2,11.8,286.0,79.5,34.7,11.0,74.0,8.73,6.22,5.07,1.0,1.0,2.0,,28,NOR,NFL,QB,3.0,3.0,5.0,16.0,0.0,0.0,40.0,6.0,3.2,5.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.2,16.0,0.0,3.0,,28,NOR,NFL,QB,3.0,3.0,73.0,115.0,1315.0,11.4,651.0,8.9,5.7,207.0,2.8,2.0,2.0,2.0,3.0,2.7,23.0,20.7,81.0,73.0,2.5,41.0,9.0,11.0,31.0,24.0,3.0,3.7,2.0,21.0,2.0,21.0,0.0,0.0,11.0,32.0,,Jameis Winston,WinsJa00,2015,TAM,874.0
2023,29,NOR,NFL,QB,7.0,0.0,,25.0,47.0,53.2,264.0,2.0,4.3,3.0,6.4,10.0,32.7,30.0,5.6,3.6,10.6,37.7,57.4,35.6,2.0,13.0,4.08,5.12,3.18,0.0,0.0,1.0,,29,NOR,NFL,QB,7.0,0.0,5.0,-6.0,0.0,0.0,0.0,-1.0,-1.2,-0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.2,-6.0,0.0,0.0,,29,NOR,NFL,QB,7.0,0.0,25.0,47.0,603.0,12.8,179.0,7.2,3.8,85.0,3.4,0.0,1.0,0.0,3.0,6.5,10.0,21.7,35.0,76.1,2.1,19.0,3.0,2.0,7.0,14.3,0.0,,1.0,11.0,1.0,11.0,0.0,0.0,1.0,11.0,,Jameis Winston,WinsJa00,2015,TAM,258.0
2024,30,CLE,NFL,QB,12.0,7.0,2-5-0,181.0,296.0,61.1,2121.0,13.0,4.4,12.0,4.1,103.0,44.1,89.0,7.2,6.22,11.7,176.8,80.6,55.6,24.0,130.0,7.5,6.22,5.35,2.0,2.0,4.0,,30,CLE,NFL,QB,12.0,7.0,25.0,83.0,1.0,17.0,76.0,13.0,3.3,6.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.3,83.0,1.0,5.0,,30,CLE,NFL,QB,12.0,7.0,181.0,296.0,2632.0,8.9,1356.0,7.5,4.6,765.0,4.2,11.0,4.0,1.0,13.0,4.5,52.0,17.9,205.0,70.4,2.4,61.0,23.0,24.0,71.0,21.6,8.0,5.8,25.0,193.0,20.0,163.0,4.0,30.0,51.0,610.0,,Jameis Winston,WinsJa00,2015,TAM,2204.0
