Decision_Year,Performance_Year,Weight_%,Coefficient
3,Year 0,3.011139334824317,0.006780894303309128
3,Year 1,44.52979507227556,0.10027826684769917
3,Year 2,52.459065592900124,0.1181344798368723
4,Year 0,9.392961633560285,0.027934088130675553
4,Year 1,28.51684869265198,0.08480734784900235
4,Year 2,7.838195719659953,0.023310310268506194
4,Year 3,54.25199395412778,0.16134208139047396
5,Year 0,10.116297728497454,0.036879838763649475
5,Year 1,21.2536956289086,0.07748218656295432
5,Year 2,5.647052053180768,-0.020586816916683914
5,Year 3,21.109522012114372,0.0769565891671437
5,Year 4,41.873432577298814,0.15265322189768094
6,Year 0,8.703882817990815,0.03179889281152049
6,Year 1,17.88917823403543,0.06535658545108855
6,Year 2,8.45419221464013,-0.030886669508653798
6,Year 3,10.934779767583741,0.03994928436171707
6,Year 4,29.508748847658662,0.10780769470715165
6,Year 5,24.50921811809123,0.0895423360043887
